participantid,condition,session,conversation,onset,duration,production,comprehension,n_token,utterance,tdl
subj-01,human,1,3,51.228,1.5399999999999991,0,1,7,que que pour faire une ratatouille quoi,15
subj-01,human,1,3,54.998,2.301000000000002,0,1,7,donc euh je sais pas alimentation ouais,4
subj-01,human,1,3,57.518,2.4335999999999984,0,1,11,*** fruits et légumes c'est aussi une sorte d'aliment-,16
subj-01,human,1,3,0.952,5.053,1,0,17,ok donc là il s'agissait d'un demi citron vert avec un masque de tortue ninja,36
subj-01,human,1,3,8.276,0.1479999999999997,1,0,1,ah,0
subj-01,human,1,3,11.482,0.7620000000000005,1,0,2,ouais euh,0
subj-01,human,1,3,14.978,0.5180000000000007,1,0,3,c'est ça,3
subj-01,human,1,3,16.038,1.998000000000001,1,0,11,donc tout à l'heure c'était aussi superman donc euh,28
subj-01,human,1,3,18.463,1.5449999999999982,1,0,8,je pense que ça fait sens avec euh,10
subj-01,human,1,3,21.349,1.1769999999999996,1,0,7,c'est de l'image fait sens,12
subj-01,human,1,3,22.832,1.4639999999999986,1,0,4,là concernant cette image,4
subj-01,human,1,3,24.956,1.971,1,0,7,ouais une tortue ninja un citron vert,4
subj-01,human,1,3,27.532,2.2489999999999988,1,0,8,ça fait vraiment sens ça doit être euh,6
subj-01,human,1,3,30.037,1.4120000000000026,1,0,5,une publicité qui va euh,4
subj-01,human,1,3,32.013,1.8900000000000006,1,0,11,dans le sens de voilà manger plus de fruits et légumes,13
subj-01,human,1,3,34.68,2.378,1,0,11,vous avez dit c'était lié à l'alimentation donc euh,19
subj-01,human,1,3,45.99,1.8999999999999986,1,0,8,non ouais ça se mange pas comme ça,8
subj-01,human,1,3,50.466,0.43200000000000216,1,0,1,oui,0
subj-01,human,1,3,53.774,0.5079999999999956,1,0,3,c'est sûr,3
subj-01,human,1,5,3.968,1.6109999999999998,0,1,11,c'est c'est la pomme que j'avais pas vu,27
subj-01,human,1,5,10.319,2.9419999999999984,0,1,11,ah ouais ouais clairement hein spider man et y a euh,16
subj-01,human,1,5,14.835,0.23399999999999999,0,1,1,ouais,0
subj-01,human,1,5,23.6,2.314,0,1,3,ah bien vu,1
subj-01,human,1,5,26.099,1.0399999999999991,0,1,5,non j'aurais pas euh,2
subj-01,human,1,5,27.629,0.9949999999999974,0,1,6,j'avais pas pensé à ça,9
subj-01,human,1,5,28.929,2.683,0,1,14,en tout cas on a quand même un fruit un légume et un agrume,22
subj-01,human,1,5,32.227,4.108000000000004,0,1,19,mais tu vois si ça avait été vraiment que enfin moi je je sais pas c'est une idée,40
subj-01,human,1,5,36.484,1.6920000000000002,0,1,9,si ça avait vraiment que pour manger ils auraient,18
subj-01,human,1,5,39.131,2.2719999999999985,0,1,8,mis une orange plutôt qu'un citron ouais,13
subj-01,human,1,5,46.036,0.41100000000000136,0,1,3,c'est ça,3
subj-01,human,1,5,48.286,2.0019999999999953,0,1,9,ouais c'est pour faire le le thème super-héros,13
subj-01,human,1,5,55.872,1.814,0,1,5,ah ça serait un truc,6
subj-01,human,1,5,58.011,1.9405999999999963,0,1,8,qui ciblerait les enfants parce que comme ça,15
subj-01,human,1,5,0.823,3.9019999999999997,1,0,21,voilà donc là thierry il s'agit de l'image dont je te parlais tout à l'heure donc y a,55
subj-01,human,1,5,4.949,0.42600000000000016,1,0,2,la pomme,1
subj-01,human,1,5,5.965,0.7919999999999998,1,0,3,voilà la pomme,1
subj-01,human,1,5,7.042,2.8599999999999994,1,0,13,à l'envers avec euh on aurait dit le masque de spider man,20
subj-01,human,1,5,15.003,4.375,1,0,20,c'est ça avec la pomme qui est complètement posée à l'envers donc euh qui fait sens avec euh,41
subj-01,human,1,5,19.85,1.7629999999999981,1,0,6,spider man et sa capacité à,9
subj-01,human,1,5,22.014,2.1389999999999993,1,0,9,à adhérer aux surfaces et aux plafonds pourquoi pas,11
subj-01,human,1,5,26.086,0.5060000000000002,1,0,2,donc voilà,0
subj-01,human,1,5,42.124,0.3399999999999963,1,0,1,ouais,0
subj-01,human,1,5,42.728,3.2109999999999985,1,0,14,peut-être le citron citron vert parce que c'est vert comme les tortues ninjas,27
subj-01,human,1,5,46.706,1.3870000000000005,1,0,7,voilà c'est ce qui fait sens,7
subj-01,human,1,5,48.993,1.2139999999999986,1,0,7,j'ai l'impression que c'est,10
subj-01,human,1,5,50.649,2.3419999999999987,1,0,13,voilà c'est j'ai l'impression que c'est pour rendre amusant,25
subj-01,human,1,5,53.601,0.9350000000000023,1,0,5,euh des fruits et légumes,2
subj-01,human,1,5,54.947,0.8279999999999959,1,0,4,aux yeux des enfants,4
subj-01,robot,1,2,5.679,0.8709999999999996,0,1,4,c'est une pomme,6
subj-01,robot,1,2,10.966,1.4910000000000014,0,1,6,cette pomme a des grands yeux,8
subj-01,robot,1,2,18.556,1.977999999999998,0,1,7,on dirait un spider man cette pomme,11
subj-01,robot,1,2,28.715,3.401,0,1,12,quelqu'un a découpé un visage qui ressemble à un super héros,21
subj-01,robot,1,2,40.858,1.2150000000000034,0,1,3,elle est appétissante,3
subj-01,robot,1,2,42.303,0.794000000000004,0,1,2,cette pomme,1
subj-01,robot,1,2,56.537,2.733000000000004,0,1,9,c'est peut-être une pub pour manger plus sainement,16
subj-01,robot,1,2,2.235,2.81,1,0,10,là il semble y avoir un pattern sur cette pomme,15
subj-01,robot,1,2,6.92,3.617000000000001,1,0,15,c'est une pomme on aurait dit qu'elle avait un masque de de superman,27
subj-01,robot,1,2,13.662,2.4030000000000005,1,0,14,elle a des grands yeux et elle est à l'envers aussi donc euh,37
subj-01,robot,1,2,16.705,1.5340000000000025,1,0,7,est ce que ça signifie quelque chose,10
subj-01,robot,1,2,22.014,1.591000000000001,1,0,6,ouais ouais on dirait spider man,5
subj-01,robot,1,2,23.843,0.5749999999999993,1,0,3,à l'envers,3
subj-01,robot,1,2,25.221,0.9039999999999999,1,0,3,une pomme rouge,2
subj-01,robot,1,2,27.354,0.8840000000000003,1,0,5,elle avait que les yeux,7
subj-01,robot,1,2,32.973,1.320999999999998,1,0,5,c'est ça donc euh,4
subj-01,robot,1,2,35.178,2.7340000000000018,1,0,12,ça fait sens avec ce qu'on a vu précédemment sur euh,26
subj-01,robot,1,2,38.476,0.838000000000001,1,0,3,sur l'aubergine,3
subj-01,robot,1,2,44.324,0.9849999999999994,1,0,2,relativement oui,0
subj-01,robot,1,2,47.382,0.7880000000000038,1,0,3,elle est euh,1
subj-01,robot,1,2,49.907,0.8490000000000038,1,0,5,elle est rouge elle est,4
subj-01,robot,1,2,51.127,1.0309999999999988,1,0,5,elle est en spider man,7
subj-01,robot,1,2,53.626,0.7880000000000038,1,0,4,posée à l'envers,6
subj-01,robot,1,2,56.228,0.6899999999999977,1,0,3,que après euh,1
subj-01,robot,1,4,4.349,1.3570000000000002,0,1,4,elle ressemble à batman,4
subj-01,robot,1,4,16.476,0.4430000000000014,0,1,1,oui,0
subj-01,robot,1,4,17.152,0.7010000000000005,0,1,3,tu as raison,2
subj-01,robot,1,4,19.754,2.0619999999999976,0,1,9,elle a l'air plus méchante que la pomme,13
subj-01,robot,1,4,30.565,0.39599999999999724,0,1,1,oui,0
subj-01,robot,1,4,38.481,2.478999999999999,0,1,9,c'est une campagne de pub ciblant les enfants,15
subj-01,robot,1,4,46.783,2.610999999999997,0,1,10,ça peut être une pub pour manger plus de légumes,14
subj-01,robot,1,4,51.69,2.561,0,1,10,ça peut être une pub pour manger des légumes locaux,14
subj-01,robot,1,4,1.087,2.4880000000000004,1,0,10,là encore une fois il s'agit de l'aubergine,18
subj-01,robot,1,4,3.9,0.9659999999999997,1,0,2,euh qui,0
subj-01,robot,1,4,5.924,1.7269999999999994,1,0,7,oui en effet elle ressemble à batman,7
subj-01,robot,1,4,7.972,5.207,1,0,17,ce que j'avais pas remarqué précédemment c'est que le pédoncule au dessus de l'aubergine,40
subj-01,robot,1,4,13.418,4.269000000000002,1,0,14,lui donne comme une coupe de cheveux assez étrange qui ressemble pas à batman,27
subj-01,robot,1,4,22.832,2.2399999999999984,1,0,10,elle a l'air plus méchante que la pomme oui,13
subj-01,robot,1,4,25.493,1.1479999999999997,1,0,3,un batman euh,1
subj-01,robot,1,4,26.866,0.8859999999999992,1,0,1,globalement,0
subj-01,robot,1,4,28.045,1.1039999999999992,1,0,5,un peu plus dark que,4
subj-01,robot,1,4,29.361,0.9499999999999993,1,0,1,spiderman,0
subj-01,robot,1,4,31.703,4.055000000000003,1,0,14,après oui ça semble être lié à l'alimentation ou à la promotion de,23
subj-01,robot,1,4,36.27,1.439,1,0,8,du fait de manger des fruits et légumes,10
subj-01,robot,1,4,42.256,3.2269999999999968,1,0,8,pour rendre ludique les aliments les fruits légumes,13
subj-01,robot,1,4,51.452,1.1270000000000024,1,0,3,ça fait sens,2
subj-01,robot,1,4,55.872,3.7139999999999986,1,0,9,locaux oui pourquoi pas produisent des aubergines des pommes,8
subj-01,robot,1,6,5.604,1.0110000000000001,0,1,4,c'est un citron,6
subj-01,robot,1,6,11.304,1.5909999999999993,0,1,5,il ressemble à un ninja,7
subj-01,robot,1,6,14.134,0.40700000000000003,0,1,1,oui,0
subj-01,robot,1,6,20.851,3.2620000000000005,0,1,9,il combat les mauvaises habitudes alimentaires avec les autres,18
subj-01,robot,1,6,36.515,1.0110000000000028,0,1,3,oui bien sûr,1
subj-01,robot,1,6,42.647,2.804000000000002,0,1,9,c'est peut-être une pub pour manger plus sainement,16
subj-01,robot,1,6,58.956,0.995599999999996,0,1,2,je pense,1
subj-01,robot,1,6,1.373,1.543,1,0,6,là c'était un citron vert,11
subj-01,robot,1,6,3.48,1.6110000000000002,1,0,6,et on aurait que il avait,9
subj-01,robot,1,6,5.553,0.9199999999999999,1,0,3,taillé au couteau,3
subj-01,robot,1,6,7.413,3.327,1,0,11,taillé au couteau le masque d'un d'une tortue ninja,18
subj-01,robot,1,6,15.692,0.652000000000001,1,0,2,donc euh,0
subj-01,robot,1,6,17.625,2.4229999999999983,1,0,10,ça fait sens avec ce qu'on a vu précédemment,17
subj-01,robot,1,6,20.815,0.3309999999999995,1,0,1,euh,0
subj-01,robot,1,6,26.734,2.4389999999999965,1,0,13,ouais c'est vrai que le fait d'utiliser des super héros euh,18
subj-01,robot,1,6,30.255,2.083000000000002,1,0,5,ça ça donne ce message,6
subj-01,robot,1,6,32.694,2.168999999999997,1,0,9,le fait que voilà ce sont des justiciers et,22
subj-01,robot,1,6,35.438,1.1119999999999948,1,0,3,ça puisse être,2
subj-01,robot,1,6,37.963,1.9200000000000017,1,0,4,des combattants euh contre,2
subj-01,robot,1,6,40.32,1.7779999999999987,1,0,6,une mauvaise habitude alimentaire pourquoi pas,5
subj-01,robot,1,6,42.426,0.8659999999999997,1,0,3,c'est intéressant,3
subj-01,robot,1,6,46.254,1.7580000000000027,1,0,4,ça ça fait sens,4
subj-01,robot,1,6,49.618,3.3529999999999944,1,0,14,c'est c'est intéressant d'utiliser le côté ludique pour les enfants ça,33
subj-01,robot,1,6,53.474,2.159000000000006,1,0,7,ça fait appel à leur imagination ça,9
subj-01,robot,1,6,56.807,1.5289999999999964,1,0,8,ça rend plus intéressant les fruits et légumes,12
subj-01,human,2,1,3.13,0.17700000000000005,0,1,1,ouais,0
subj-01,human,2,1,14.84,0.8789999999999996,0,1,5,ah oui d'accord oui,3
subj-01,human,2,1,16.797,7.878999999999998,0,1,37,mais euh c'était plus ordi- euh enfin c'était pas dans la continuité là on est plus dans les super héros avec les beaux fruits et légumes avec les trucs découpés hein là c'est euh,103
subj-01,human,2,1,25.449,4.484999999999999,0,1,23,donc ouais c'est un dessin tu dis donc c'est pas une vraie c'est pas quelque chose qui aurait été euh,57
subj-01,human,2,1,33.918,0.23400000000000176,0,1,1,ouais,0
subj-01,human,2,1,41.402,0.26899999999999835,0,1,1,mouais,0
subj-01,human,2,1,42.368,2.2959999999999994,0,1,15,elle avait pas l'air c- pas l'air heureuse quoi c'était pas euh,34
subj-01,human,2,1,45.009,2.9279999999999973,0,1,17,c'était pas la joie de vivre mais d'ailleurs elle avait une sale tête en fait,40
subj-01,human,2,1,48.347,0.23400000000000176,0,1,2,par un,1
subj-01,human,2,1,48.845,0.44700000000000273,0,1,2,ceci dit,1
subj-01,human,2,1,54.373,0.48799999999999955,0,1,1,ouais,0
subj-01,human,2,1,55.211,0.402000000000001,0,1,1,ok,0
subj-01,human,2,1,55.973,1.3470000000000013,0,1,1,euh,0
subj-01,human,2,1,57.935,1.3759999999999977,0,1,9,elle avait pas un oeil au beurre noir non,10
subj-01,human,2,1,59.581,0.37059999999999604,0,1,3,je sais pas,2
subj-01,human,2,1,1.335,1.9060000000000001,1,0,8,donc là il s'agissais d'une framboise,16
subj-01,human,2,1,3.882,1.8589999999999995,1,0,5,qui faisait non pas euh,2
subj-01,human,2,1,6.235,1.5789999999999997,1,0,6,euh réelle dans laquelle on avait,4
subj-01,human,2,1,7.997,1.5950000000000006,1,0,9,coupé de la chair mais là il s'agissait,24
subj-01,human,2,1,9.943,0.8179999999999996,1,0,4,plutôt d'un dessin,6
subj-01,human,2,1,11.619,0.43599999999999994,1,0,1,euh,0
subj-01,human,2,1,12.758,2.210000000000001,1,0,7,voilà euh une framboise avec des yeux,7
subj-01,human,2,1,15.175,1.1950000000000003,1,0,4,des pieds des mains,1
subj-01,human,2,1,22.766,0.5340000000000025,1,0,3,c'est ça,3
subj-01,human,2,1,25.148,1.0169999999999995,1,0,5,en plus on aurait dit,8
subj-01,human,2,1,30.367,2.727999999999998,1,0,13,non c'est ça on aurait dit quelque chose voilà plutôt un ordinateur,20
subj-01,human,2,1,33.766,1.0260000000000034,1,0,6,mais euh bon elle avait une,5
subj-01,human,2,1,34.975,2.3470000000000013,1,0,8,drôle d'expression cette framboise comme si euh,14
subj-01,human,2,1,37.993,1.5449999999999946,1,0,5,elle avait été un peu,7
subj-01,human,2,1,40.025,2.149000000000001,1,0,8,je sais pas elle semblait contrariée cette framboise,11
subj-01,human,2,1,44.588,0.30400000000000205,1,0,1,non,0
subj-01,human,2,1,48.363,2.6570000000000036,1,0,16,c'est ça c'est ça on aurait que que qu'elle s'était pris euh,33
subj-01,human,2,1,52.026,2.1439999999999984,1,0,11,euh qu'elle s'était pris un poing dans la figure,21
subj-01,human,2,3,1.504,3.0580000000000003,0,1,17,là c'était la fraise qui allait avec la framboise tu sais ça fait un peu le,27
subj-01,human,2,3,8.378,0.7159999999999993,0,1,4,les desserts d'été,4
subj-01,human,2,3,15.689,6.366,0,1,25,par contre elles sont dessinées à enfin dessinées un peu de la même manière que la framboise quoi avec les deux pieds les deux bras,79
subj-01,human,2,3,23.112,0.6580000000000013,0,1,2,les yeux,1
subj-01,human,2,3,42.047,0.9250000000000043,0,1,1,ah,0
subj-01,human,2,3,44.451,0.838000000000001,0,1,4,il faut manger local,3
subj-01,human,2,3,49.638,0.39100000000000534,0,1,1,ben,0
subj-01,human,2,3,53.895,2.8909999999999982,0,1,15,ouais des fraises ou des framboises enfin c'est des choses qu'on trouve euh,23
subj-01,human,2,3,57.461,0.9560000000000031,0,1,2,assez facilement,1
subj-01,human,2,3,58.829,1.1225999999999985,0,1,6,surtout qu'en plus celle qui,11
subj-01,human,2,3,1.575,0.4880000000000002,1,0,3,donc là il,3
subj-01,human,2,3,4.644,2.093,1,0,10,c'est ça il s'agissait euh d'une fraise,17
subj-01,human,2,3,7.108,1.0309999999999997,1,0,6,elle est bel et bien abimée,15
subj-01,human,2,3,8.581,2.2490000000000006,1,0,6,avec une expression assez assez triste,8
subj-01,human,2,3,12.224,0.7720000000000002,1,0,3,par rapport à,2
subj-01,human,2,3,13.464,1.4629999999999992,1,0,9,par rapport à tout à l'heure donc euh,18
subj-01,human,2,3,22.385,2.067,1,0,10,c'est ça non et avec une expression assez assez,16
subj-01,human,2,3,24.59,1.3919999999999995,1,0,3,triste assez désespérée,3
subj-01,human,2,3,27.014,0.9400000000000013,1,0,3,par rapport à,2
subj-01,human,2,3,29.422,2.210000000000001,1,0,12,à à l'image que j'ai vu précédemment il s'agirait,20
subj-01,human,2,3,31.81,0.7369999999999983,1,0,1,probablement,0
subj-01,human,2,3,33.172,0.6350000000000051,1,0,4,de fruits et légumes,2
subj-01,human,2,3,33.906,0.9980000000000047,1,0,4,qui viendraient de loin,4
subj-01,human,2,3,35.397,0.847999999999999,1,0,4,et euh liés aux,2
subj-01,human,2,3,36.454,0.9699999999999989,1,0,1,transports,0
subj-01,human,2,3,38.283,3.347999999999999,1,0,16,et voilà le fait qu'ils viennent loin qui étaient transportés du coup ils sont abimés,29
subj-01,human,2,3,42.576,2.692999999999998,1,0,10,ça va voilà dans le sens de faut manger local,15
subj-01,human,2,3,45.558,0.9710000000000036,1,0,4,voilà faut manger local,2
subj-01,human,2,3,47.047,2.0830000000000055,1,0,12,c'est c'est étrange parce que les fraises on en produit,29
subj-01,human,2,3,50.542,1.0869999999999962,1,0,3,bon après euh,1
subj-01,human,2,5,1.392,0.3250000000000002,0,1,2,pour la,1
subj-01,human,2,5,5.187,0.49299999999999944,0,1,2,mais ***,0
subj-01,human,2,5,6.026,0.30400000000000027,0,1,2,mais quand,1
subj-01,human,2,5,8.002,2.549999999999999,0,1,16,mais contrairement à ce que je pensais c'est pas que des fruits rouges alors hein,49
subj-01,human,2,5,10.766,0.7419999999999991,0,1,4,y a aussi euh,2
subj-01,human,2,5,12.036,4.029000000000002,0,1,24,c'est tous des fruits mais c'est pas que les fruits rouges je pensais qu'on allait avoir après la fraise la framboise,69
subj-01,human,2,5,16.142,1.1829999999999998,0,1,6,c'est la groseille ou le,9
subj-01,human,2,5,27.212,0.2950000000000017,0,1,1,non,0
subj-01,human,2,5,28.065,2.860999999999997,0,1,15,ça doit pas être là ça doit pas être ça doit pas aller ensemble hein,23
subj-01,human,2,5,32.785,4.334000000000003,0,1,19,c'est pas c'est les mêmes par contre les trois effectivement la framboise la fraise et la poire,45
subj-01,human,2,5,37.698,0.8440000000000012,0,1,5,euh ils sont tous pas,6
subj-01,human,2,5,38.867,1.7480000000000047,0,1,8,ça donne un peu l'impression d'un,13
subj-01,human,2,5,41.519,4.237000000000002,0,1,14,un un tournoi de boxe où t'aurais les trois perdants ou les trois,26
subj-01,human,2,5,53.103,0.5790000000000006,0,1,2,ah ouais,0
subj-01,human,2,5,55.45,0.8939999999999984,0,1,8,ah ouais mais sauf que ceux de la,9
subj-01,human,2,5,56.644,2.3629999999999995,0,1,12,pub oasis ils sont en plein forme alors que eux c'est,20
subj-01,human,2,5,1.529,3.338,1,0,13,là c'était la poire voilà euh un peu abimée un peu difforme,25
subj-01,human,2,5,5.421,1.7379999999999995,1,0,5,avec une une expression triste,5
subj-01,human,2,5,17.005,1.458000000000002,1,0,7,mais non non là là voilà une,10
subj-01,human,2,5,18.742,0.4319999999999986,1,0,1,poire,0
subj-01,human,2,5,19.682,1.2810000000000024,1,0,2,difforme triste,1
subj-01,human,2,5,21.262,1.245000000000001,1,0,5,les bras un peu ballants,7
subj-01,human,2,5,23.244,2.0680000000000014,1,0,10,ça s'inspire vraiment pas la même chose que les,17
subj-01,human,2,5,25.642,1.4989999999999988,1,0,10,super héros qu'on a vu tout à l'heure,18
subj-01,human,2,5,32.379,0.26900000000000546,1,0,1,non,0
subj-01,human,2,5,46.732,2.600999999999999,1,0,11,peut être oui ouais ça me fait un peu penser à,21
subj-01,human,2,5,49.694,2.7079999999999984,1,0,11,fruit qu'on retrouve dans dans dans la pub Oasis aussi,29
subj-01,human,2,5,53.057,1.5799999999999983,1,0,7,comment ils sont un peu dessinés voilà,14
subj-01,human,2,5,58.341,1.5634000000000015,1,0,7,ouais là ils sont un peu abimés,15
subj-01,robot,2,2,4.877,0.44200000000000017,0,1,1,oui,0
subj-01,robot,2,2,5.924,1.2799999999999994,0,1,5,c'est une poire jaune,7
subj-01,robot,2,2,9.948,1.2599999999999998,0,1,5,c'est une poire pourrie,7
subj-01,robot,2,2,24.189,1.1630000000000003,0,1,3,ses bras pendent,2
subj-01,robot,2,2,30.052,1.5390000000000015,0,1,4,la poire semble triste,3
subj-01,robot,2,2,32.984,1.350999999999999,0,1,3,elle semble malheureuse,2
subj-01,robot,2,2,44.918,1.7319999999999993,0,1,9,elle est pourrie parce qu'elle vient de loin,15
subj-01,robot,2,2,53.895,1.4939999999999998,0,1,4,oui ça se pourrait,3
subj-01,robot,2,2,1.671,2.16,1,0,11,donc là encore une fois il s'agissait d'un fruit,22
subj-01,robot,2,2,4.105,0.25899999999999945,1,0,1,poire,0
subj-01,robot,2,2,5.573,0.8179999999999996,1,0,4,et qui avait une,4
subj-01,robot,2,2,7.57,1.6259999999999994,1,0,7,c'est avec une drôle de forme,21
subj-01,robot,2,2,12.183,1.016,1,0,2,pourrie euh,0
subj-01,robot,2,2,13.814,3.4299999999999997,1,0,12,euh probablement oui elle avait une drôle d'expression son visage euh,11
subj-01,robot,2,2,18.356,2.916999999999998,1,0,10,semblait être euh la poire semblait être un peu triste,17
subj-01,robot,2,2,23.986,0.5129999999999981,1,0,3,donc là euh,1
subj-01,robot,2,2,26.546,1.4280000000000008,1,0,5,oui elle semble un peu,3
subj-01,robot,2,2,28.167,0.9039999999999999,1,0,1,désespérée,0
subj-01,robot,2,2,29.991,0.5839999999999996,1,0,3,peut-être pas si,2
subj-01,robot,2,2,35.422,3.3840000000000003,1,0,12,oui peut-être parce qu'elle a elle a pas une forme parfaite,18
subj-01,robot,2,2,40.549,4.109999999999999,1,0,14,est ce que c'est lié aux fruits et légumes qui sont moches peut-être,26
subj-01,robot,2,2,48.708,0.7319999999999993,1,0,3,d'accord ok,1
subj-01,robot,2,2,49.806,4.384,1,0,15,donc euh par rapport à la promotion des des de manger locaux local peut-être peut-être,32
subj-01,robot,2,2,57.711,0.6110000000000042,1,0,2,d'accord,1
subj-01,robot,2,4,3.658,0.371,0,1,1,oui,0
subj-01,robot,2,4,4.725,1.0010000000000003,0,1,3,elle est déformée,3
subj-01,robot,2,4,5.98,0.859,0,1,3,comme la poire,3
subj-01,robot,2,4,11.127,1.5239999999999991,0,1,6,elle a des bras trop courts,7
subj-01,robot,2,4,13.586,1.2599999999999998,0,1,5,elle a des genoux courbés,5
subj-01,robot,2,4,19.926,1.3210000000000015,0,1,3,elle semble triste,2
subj-01,robot,2,4,30.423,1.9000000000000021,0,1,7,peut-être que quelqu'un l'a frappé,21
subj-01,robot,2,4,37.221,0.34500000000000597,0,1,1,non,0
subj-01,robot,2,4,51.015,3.825000000000003,0,1,15,c'est une campagne pour des fruits locaux et qui ne viennent pas de loin,29
subj-01,robot,2,4,55.379,0.5590000000000046,0,1,1,hum,0
subj-01,robot,2,4,56.512,0.847999999999999,0,1,1,peut-être,0
subj-01,robot,2,4,0.741,2.887,1,0,9,sur cette image il s'agissait d'une framboise,15
subj-01,robot,2,4,4.857,0.25399999999999956,1,0,1,avec,0
subj-01,robot,2,4,5.97,0.3600000000000003,1,0,1,oui,0
subj-01,robot,2,4,7.275,2.673,1,0,12,c'est ça elle est déformée elle a une expression assez assez,18
subj-01,robot,2,4,10.121,0.5939999999999994,1,0,3,oui c'est,1
subj-01,robot,2,4,11.106,0.6620000000000008,1,0,1,semble,0
subj-01,robot,2,4,15.684,1.5580000000000016,1,0,6,oui donc euh elle elle exprime,6
subj-01,robot,2,4,17.325,1.5850000000000009,1,0,5,pas quelque chose de joyeux,6
subj-01,robot,2,4,19.712,0.5599999999999987,1,0,2,elle ne,1
subj-01,robot,2,4,21.454,1.6219999999999999,1,0,4,elle inspire pas euh,2
subj-01,robot,2,4,23.61,0.6580000000000013,1,0,3,tant de bon,3
subj-01,robot,2,4,24.6,1.8499999999999979,1,0,6,de sympathie autant d'admiration que,4
subj-01,robot,2,4,26.852,2.402000000000001,1,0,10,que le super héros enfin que les légumes super héros,16
subj-01,robot,2,4,34.03,0.9960000000000022,1,0,2,super héros,1
subj-01,robot,2,4,35.742,0.5640000000000001,1,0,4,non je sais pas,2
subj-01,robot,2,4,37.2,0.3359999999999985,1,0,2,et euh,0
subj-01,robot,2,4,39.131,0.8939999999999984,1,0,4,et du coup euh,3
subj-01,robot,2,4,41.377,2.997,1,0,15,est ce que est ce que c'est lié au fait de voilà les framboises,24
subj-01,robot,2,4,44.557,1.1379999999999981,1,0,4,euh viennent de loin,3
subj-01,robot,2,4,46.313,3.7309999999999945,1,0,21,donc du coup elles s'abiment au cours des transports est ce que c'est lié au fait de manger local,41
subj-01,robot,2,4,59.692,0.21240000000000236,1,0,1,ouais,0
