participantid,condition,session,conversation,onset,duration,within_speaker,speaker_prior_turn,speaker_subsequent_turn,type,word_count,subsequent_utterance
subj-01,human,1,5,57.686,0.32500000000000284,1,researcher,researcher,silence,8,qui ciblerait les enfants parce que comme ça
subj-01,human,1,5,3.968,0.7569999999999997,0,participant,researcher,speech,11,c'est c'est la pomme que j'avais pas vu
subj-01,human,1,5,4.949,0.42600000000000016,1,participant,participant,speech,2,la pomme
subj-01,human,1,5,15.003,0.06600000000000072,0,researcher,participant,speech,20,c'est ça avec la pomme qui est complètement posée à l'envers donc euh qui fait sens avec euh
subj-01,human,1,5,23.6,0.5529999999999973,0,participant,researcher,speech,3,ah bien vu
subj-01,human,1,5,26.099,0.49299999999999855,0,participant,researcher,speech,5,non j'aurais pas euh
subj-01,human,1,5,46.706,0.634999999999998,0,researcher,participant,speech,7,voilà c'est ce qui fait sens
subj-01,human,1,5,48.993,1.2139999999999986,1,participant,participant,speech,7,j'ai l'impression que c'est
subj-01,robot,1,2,0.173,2.062,0,researcher,participant,silence,10,là il semble y avoir un pattern sur cette pomme
subj-01,robot,1,2,5.045,0.6340000000000003,0,participant,researcher,silence,4,c'est une pomme
subj-01,robot,1,2,6.55,0.3700000000000001,0,researcher,participant,silence,15,c'est une pomme on aurait dit qu'elle avait un masque de de superman
subj-01,robot,1,2,10.537,0.4289999999999985,0,participant,researcher,silence,6,cette pomme a des grands yeux
subj-01,robot,1,2,12.457,1.205,0,researcher,participant,silence,14,elle a des grands yeux et elle est à l'envers aussi donc euh
subj-01,robot,1,2,16.065,0.639999999999997,1,participant,participant,silence,7,est ce que ça signifie quelque chose***
subj-01,robot,1,2,20.534,1.4800000000000004,0,researcher,participant,silence,8,ouais ouais on dirait spider manà l'envers
subj-01,robot,1,2,24.418,0.8030000000000008,1,participant,participant,silence,3,une pomme rouge
subj-01,robot,1,2,26.125,1.2289999999999992,1,participant,participant,silence,5,elle avait que les yeux
subj-01,robot,1,2,28.238,0.4770000000000003,0,participant,researcher,silence,12,quelqu'un a découpé un visage qui ressemble à un super héros
subj-01,robot,1,2,32.116,0.8569999999999993,0,researcher,participant,silence,5,c'est ça donc euh
subj-01,robot,1,2,34.294,0.8840000000000003,1,participant,participant,silence,12,ça fait sens avec ce qu'on a vu précédemment sur euh
subj-01,robot,1,2,37.912,0.5640000000000001,1,participant,participant,silence,3,sur l'aubergine
subj-01,robot,1,2,39.314,1.543999999999997,0,participant,researcher,silence,4,elle est appétissantecette pomme
subj-01,robot,1,2,43.097,1.2269999999999968,0,researcher,participant,silence,2,relativement oui
subj-01,robot,1,2,45.309,2.0730000000000004,1,participant,participant,silence,3,elle est euh
subj-01,robot,1,2,48.17,1.7369999999999948,1,participant,participant,silence,5,elle est rouge elle est
subj-01,robot,1,2,50.756,0.3710000000000022,1,participant,participant,silence,5,elle est en spider man
subj-01,robot,1,2,52.158,1.4679999999999964,1,participant,participant,silence,4,posée à l'envers
subj-01,robot,1,2,54.414,1.814,1,participant,participant,silence,3,que après euh
subj-01,robot,1,2,18.556,0.1509999999999998,0,participant,researcher,speech,7,on dirait un spider man cette pomme
subj-01,robot,1,2,56.537,0.3810000000000002,0,participant,researcher,speech,9,c'est peut-être une pub pour manger plus sainement
subj-01,robot,1,4,3.575,0.32499999999999973,1,participant,participant,silence,2,euh qui
subj-01,robot,1,4,5.706,0.21799999999999997,0,researcher,participant,silence,7,oui en effet elle ressemble à batman
subj-01,robot,1,4,7.651,0.3210000000000006,1,participant,participant,silence,30,ce que j'avais pas remarqué précédemment c'est que le pédoncule au dessus de l'auberginelui donne comme une coupe de cheveux assez étrange qui ressemble pas à batman
subj-01,robot,1,4,17.853,1.2709999999999972,0,researcher,participant,silence,1,***
subj-01,robot,1,4,19.743,0.011000000000002785,0,participant,researcher,silence,9,elle a l'air plus méchante que la pomme
subj-01,robot,1,4,21.816,1.0160000000000018,0,researcher,participant,silence,10,elle a l'air plus méchante que la pomme oui
subj-01,robot,1,4,25.072,0.4209999999999994,1,participant,participant,silence,3,un batman euhglobalement
subj-01,robot,1,4,27.752,0.2930000000000028,1,participant,participant,silence,5,un peu plus dark quespiderman
subj-01,robot,1,4,30.311,0.25400000000000134,0,participant,researcher,silence,1,oui
subj-01,robot,1,4,30.961,0.7420000000000009,0,researcher,participant,silence,14,après oui ça semble être lié à l'alimentation ou à la promotion de
subj-01,robot,1,4,35.758,0.5120000000000005,1,participant,participant,silence,8,du fait de manger des fruits et légumes***
subj-01,robot,1,4,42.017,0.23899999999999721,1,participant,participant,silence,8,pour rendre ludique les aliments les fruits légumes
subj-01,robot,1,4,45.483,1.3000000000000043,0,participant,researcher,silence,10,ça peut être une pub pour manger plus de légumes
subj-01,robot,1,4,51.121,0.33099999999999596,1,participant,participant,silence,3,ça fait sens
subj-01,robot,1,4,54.251,1.6210000000000022,0,researcher,participant,silence,9,locaux oui pourquoi pas produisent des aubergines des pommes
subj-01,robot,1,4,4.349,0.5169999999999995,0,participant,researcher,speech,4,elle ressemble à batman
subj-01,robot,1,4,16.476,0.4430000000000014,1,researcher,researcher,speech,1,oui
subj-01,robot,1,4,17.152,0.5350000000000001,0,participant,researcher,speech,3,tu as raison
subj-01,robot,1,4,38.481,2.478999999999999,1,researcher,researcher,speech,9,c'est une campagne de pub ciblant les enfants
subj-01,robot,1,4,51.69,0.8890000000000029,0,participant,researcher,speech,10,ça peut être une pub pour manger des légumes locaux
subj-01,robot,1,6,2.916,0.5640000000000001,1,participant,participant,silence,6,et on aurait que il avait
subj-01,robot,1,6,5.091,0.46199999999999974,1,participant,participant,silence,3,taillé au couteau
subj-01,robot,1,6,6.615,0.798,0,researcher,participant,silence,11,taillé au couteau le masque d'un d'une tortue ninja
subj-01,robot,1,6,10.74,0.5640000000000001,0,participant,researcher,silence,5,il ressemble à un ninja
subj-01,robot,1,6,12.895,1.138,0,researcher,participant,silence,1,***
subj-01,robot,1,6,14.541,1.1509999999999998,0,researcher,participant,silence,2,donc euh
subj-01,robot,1,6,16.344,1.2809999999999988,1,participant,participant,silence,10,ça fait sens avec ce qu'on a vu précédemment
subj-01,robot,1,6,20.048,0.767000000000003,1,participant,participant,silence,1,euh
subj-01,robot,1,6,24.113,2.621000000000002,0,researcher,participant,silence,13,ouais c'est vrai que le fait d'utiliser des super héros euh
subj-01,robot,1,6,29.173,1.0820000000000007,1,participant,participant,silence,5,ça ça donne ce message
subj-01,robot,1,6,32.338,0.35600000000000165,1,participant,participant,silence,9,le fait que voilà ce sont des justiciers et
subj-01,robot,1,6,34.863,0.5750000000000028,1,participant,participant,silence,3,ça puisse être
subj-01,robot,1,6,37.526,0.4369999999999976,0,researcher,participant,silence,4,des combattants euh contre
subj-01,robot,1,6,39.883,0.4369999999999976,1,participant,participant,silence,6,une mauvaise habitude alimentaire pourquoi pas
subj-01,robot,1,6,42.098,0.32800000000000296,1,participant,participant,silence,3,c'est intéressant
subj-01,robot,1,6,45.451,0.8029999999999973,0,researcher,participant,silence,4,ça ça fait sens
subj-01,robot,1,6,48.012,1.6060000000000016,1,participant,participant,silence,14,c'est c'est intéressant d'utiliser le côté ludique pour les enfants ça
subj-01,robot,1,6,52.971,0.5030000000000001,1,participant,participant,silence,7,ça fait appel à leur imagination ça
subj-01,robot,1,6,55.633,1.1739999999999995,1,participant,participant,silence,8,ça rend plus intéressant les fruits et légumes
subj-01,robot,1,6,58.336,0.6200000000000045,0,participant,researcher,silence,2,je pense
subj-01,robot,1,6,5.604,0.8689999999999998,0,participant,researcher,speech,4,c'est un citron
subj-01,robot,1,6,20.851,0.2950000000000017,0,participant,researcher,speech,9,il combat les mauvaises habitudes alimentaires avec les autres
subj-01,robot,1,6,36.515,0.03499999999999659,0,participant,researcher,speech,3,oui bien sûr
subj-01,robot,1,6,42.647,0.6450000000000031,0,participant,researcher,speech,9,c'est peut-être une pub pour manger plus sainement
subj-01,human,2,1,3.307,0.5750000000000002,0,researcher,participant,silence,5,qui faisait non pas euh
subj-01,human,2,1,5.741,0.49400000000000066,1,participant,participant,silence,14,euh réelle dans laquelle on avaitcoupé de la chair mais là il s'agissait
subj-01,human,2,1,9.592,0.3509999999999991,1,participant,participant,silence,4,plutôt d'un dessin
subj-01,human,2,1,10.761,0.8580000000000005,1,participant,participant,silence,1,euh
subj-01,human,2,1,12.055,0.7029999999999994,1,participant,participant,silence,7,voilà euh une framboise avec des yeux
subj-01,human,2,1,16.37,0.4269999999999996,0,participant,researcher,silence,37,mais euh c'était plus ordi- euh enfin c'était pas dans la continuité là on est plus dans les super héros avec les beaux fruits et légumes avec les trucs découpés hein là c'est euh
subj-01,human,2,1,24.676,0.4720000000000013,0,researcher,participant,silence,5,en plus on aurait dit
subj-01,human,2,1,29.934,0.43299999999999983,0,researcher,participant,silence,13,non c'est ça on aurait dit quelque chose voilà plutôt un ordinateur
subj-01,human,2,1,33.095,0.6709999999999994,1,participant,participant,silence,6,mais euh bon elle avait une
subj-01,human,2,1,34.792,0.18299999999999983,1,participant,participant,silence,8,drôle d'expression cette framboise comme si euh
subj-01,human,2,1,37.322,0.6709999999999994,1,participant,participant,silence,5,elle avait été un peu
subj-01,human,2,1,39.538,0.4870000000000019,1,participant,participant,silence,8,je sais pas elle semblait contrariée cette framboise
subj-01,human,2,1,42.174,0.19400000000000261,0,participant,researcher,silence,15,elle avait pas l'air c- pas l'air heureuse quoi c'était pas euh
subj-01,human,2,1,44.892,0.11699999999999733,0,participant,researcher,silence,17,c'était pas la joie de vivre mais d'ailleurs elle avait une sale tête en fait
subj-01,human,2,1,47.937,0.4100000000000037,1,researcher,researcher,silence,2,par un
subj-01,human,2,1,51.02,1.0060000000000002,1,participant,participant,silence,11,euh qu'elle s'était pris un poing dans la figure
subj-01,human,2,1,54.17,0.20299999999999585,0,participant,researcher,silence,1,ouais
subj-01,human,2,1,54.861,0.3500000000000014,1,researcher,researcher,silence,1,ok
subj-01,human,2,1,55.613,0.35999999999999943,1,researcher,researcher,silence,1,euh
subj-01,human,2,1,57.32,0.12700000000000244,0,researcher,participant,silence,1,***
subj-01,human,2,1,57.604,0.33100000000000307,0,participant,researcher,silence,11,elle avait pas un oeil au beurre noir nonje sais pas
subj-01,human,2,1,14.84,0.1280000000000001,0,participant,researcher,speech,5,ah oui d'accord oui
subj-01,human,2,1,15.175,0.5439999999999987,0,researcher,participant,speech,4,des pieds des mains
subj-01,human,2,1,22.766,0.5340000000000025,1,participant,participant,speech,3,c'est ça
subj-01,human,2,1,25.449,0.7159999999999975,0,participant,researcher,speech,23,donc ouais c'est un dessin tu dis donc c'est pas une vraie c'est pas quelque chose qui aurait été euh
subj-01,human,2,1,33.918,0.23400000000000176,1,researcher,researcher,speech,1,ouais
subj-01,human,2,1,41.402,0.26899999999999835,1,researcher,researcher,speech,1,mouais
subj-01,human,2,1,44.588,0.07600000000000051,0,researcher,participant,speech,1,non
subj-01,human,2,1,48.363,0.21800000000000352,0,researcher,participant,speech,16,c'est ça c'est ça on aurait que que qu'elle s'était pris euh
subj-01,human,2,1,48.845,0.44700000000000273,1,researcher,researcher,speech,2,ceci dit
subj-01,human,2,3,4.562,0.08199999999999985,0,researcher,participant,silence,10,c'est ça il s'agissait euh d'une fraise
subj-01,human,2,3,6.737,0.37099999999999955,1,participant,participant,silence,6,elle est bel et bien abimée
subj-01,human,2,3,8.139,0.23900000000000077,0,participant,researcher,silence,4,les desserts d'été
subj-01,human,2,3,10.83,0.5150000000000006,1,participant,participant,silence,1,***
subj-01,human,2,3,11.731,0.4930000000000003,1,participant,participant,silence,3,par rapport à
subj-01,human,2,3,12.996,0.46799999999999997,1,participant,participant,silence,9,par rapport à tout à l'heure donc euh
subj-01,human,2,3,14.927,0.7620000000000005,0,participant,researcher,silence,25,par contre elles sont dessinées à enfin dessinées un peu de la même manière que la framboise quoi avec les deux pieds les deux bras
subj-01,human,2,3,22.055,0.33000000000000185,0,researcher,participant,silence,10,c'est ça non et avec une expression assez assez
subj-01,human,2,3,24.452,0.13799999999999812,1,participant,participant,silence,3,triste assez désespérée
subj-01,human,2,3,25.982,1.032,1,participant,participant,silence,3,par rapport à
subj-01,human,2,3,27.954,1.0919999999999987,1,participant,participant,silence,12,***à à l'image que j'ai vu précédemment il s'agirait
subj-01,human,2,3,31.632,0.17799999999999727,1,participant,participant,silence,1,probablement
subj-01,human,2,3,32.547,0.625,1,participant,participant,silence,7,de fruits et légumesqui viendraient de loin
subj-01,human,2,3,34.904,0.492999999999995,1,participant,participant,silence,4,et euh liés auxtransports
subj-01,human,2,3,37.424,0.8590000000000018,1,participant,participant,silence,16,et voilà le fait qu'ils viennent loin qui étaient transportés du coup ils sont abimés
subj-01,human,2,3,41.631,0.4159999999999968,0,participant,researcher,silence,1,ah
subj-01,human,2,3,45.289,0.26899999999999835,0,researcher,participant,silence,4,voilà faut manger local
subj-01,human,2,3,46.529,0.5179999999999936,1,participant,participant,silence,12,c'est c'est étrange parce que les fraises on en produit
subj-01,human,2,3,49.13,0.5079999999999956,0,participant,researcher,silence,1,ben
subj-01,human,2,3,50.029,0.5129999999999981,0,researcher,participant,silence,3,bon après euh
subj-01,human,2,3,51.629,2.1500000000000057,1,participant,participant,silence,1,***
subj-01,human,2,3,56.786,0.6749999999999972,1,researcher,researcher,silence,2,assez facilement
subj-01,human,2,3,58.417,0.41199999999999903,1,researcher,researcher,silence,6,surtout qu'en plus celle qui
subj-01,human,2,3,1.575,0.4880000000000002,1,participant,participant,speech,3,donc là il
subj-01,human,2,3,8.581,0.5129999999999999,0,researcher,participant,speech,6,avec une expression assez assez triste
subj-01,human,2,3,23.112,0.6580000000000013,1,researcher,researcher,speech,2,les yeux
subj-01,human,2,3,42.576,0.3960000000000008,0,researcher,participant,speech,10,ça va voilà dans le sens de faut manger local
subj-01,human,2,3,44.451,0.8179999999999978,0,participant,researcher,speech,4,il faut manger local
subj-01,human,2,5,1.306,0.08599999999999985,0,participant,researcher,silence,2,pour la
subj-01,human,2,5,4.867,0.3200000000000003,0,participant,researcher,silence,2,mais ***
subj-01,human,2,5,7.159,0.8430000000000009,0,participant,researcher,silence,19,mais contrairement à ce que je pensais c'est pas que des fruits rouges alors heiny a aussi euh
subj-01,human,2,5,11.508,0.5280000000000005,1,researcher,researcher,silence,29,c'est tous des fruits mais c'est pas que les fruits rouges je pensais qu'on allait avoir après la fraise la framboisec'est la groseille ou le
subj-01,human,2,5,19.174,0.5079999999999991,1,participant,participant,silence,6,difforme tristeles bras un peu ballants
subj-01,human,2,5,22.507,0.7369999999999983,1,participant,participant,silence,10,ça s'inspire vraiment pas la même chose que les
subj-01,human,2,5,25.312,0.3299999999999983,1,participant,participant,silence,10,super héros qu'on a vu tout à l'heure
subj-01,human,2,5,27.141,0.0710000000000015,0,participant,researcher,silence,1,non
subj-01,human,2,5,27.507,0.5579999999999998,1,researcher,researcher,silence,15,ça doit pas être là ça doit pas être ça doit pas aller ensemble hein
subj-01,human,2,5,30.926,1.4529999999999994,0,researcher,participant,silence,1,non
subj-01,human,2,5,32.648,0.13699999999999335,0,participant,researcher,silence,19,c'est pas c'est les mêmes par contre les trois effectivement la framboise la fraise et la poire
subj-01,human,2,5,37.119,0.5790000000000006,1,researcher,researcher,silence,5,euh ils sont tous pas
subj-01,human,2,5,38.542,0.32499999999999574,1,researcher,researcher,silence,8,ça donne un peu l'impression d'un
subj-01,human,2,5,40.615,0.9039999999999964,1,researcher,researcher,silence,14,un un tournoi de boxe où t'aurais les trois perdants ou les trois
subj-01,human,2,5,45.756,0.9759999999999991,0,researcher,participant,silence,11,peut être oui ouais ça me fait un peu penser à
subj-01,human,2,5,49.333,0.3610000000000042,1,participant,participant,silence,11,fruit qu'on retrouve dans dans dans la pub Oasis aussi
subj-01,human,2,5,52.402,0.6550000000000011,1,participant,participant,silence,7,comment ils sont un peu dessinés voilà
subj-01,human,2,5,54.637,0.8130000000000024,0,participant,researcher,silence,19,ah ouais mais sauf que ceux de lapub oasis ils sont en plein forme alors que eux c'est
subj-01,human,2,5,1.529,0.18800000000000017,0,researcher,participant,speech,13,là c'était la poire voilà euh un peu abimée un peu difforme
subj-01,human,2,5,5.421,0.25899999999999945,0,researcher,participant,speech,5,avec une une expression triste
subj-01,human,2,5,6.026,0.30400000000000027,1,researcher,researcher,speech,2,mais quand
subj-01,human,2,5,17.005,0.3200000000000003,0,researcher,participant,speech,7,mais non non là là voilà unepoire
subj-01,human,2,5,53.103,0.5790000000000006,1,researcher,researcher,speech,2,ah ouais
subj-01,human,2,5,58.341,0.6659999999999968,0,researcher,participant,speech,7,ouais là ils sont un peu abimés
subj-01,robot,2,2,4.364,0.5129999999999999,0,participant,researcher,silence,1,oui
subj-01,robot,2,2,5.319,0.25400000000000045,0,researcher,participant,silence,4,et qui avait une
subj-01,robot,2,2,7.204,0.36600000000000055,0,researcher,participant,silence,7,c'est avec une drôle de forme
subj-01,robot,2,2,9.196,0.7520000000000007,0,participant,researcher,silence,5,c'est une poire pourrie
subj-01,robot,2,2,11.208,0.9749999999999996,0,researcher,participant,silence,2,pourrie euh
subj-01,robot,2,2,13.199,0.6150000000000002,1,participant,participant,silence,12,euh probablement oui elle avait une drôle d'expression son visage euh
subj-01,robot,2,2,17.244,1.1120000000000019,1,participant,participant,silence,10,semblait être euh la poire semblait être un peu triste
subj-01,robot,2,2,21.273,2.713000000000001,1,participant,participant,silence,3,donc là euh
subj-01,robot,2,2,25.352,1.193999999999999,0,researcher,participant,silence,5,oui elle semble un peudésespérée
subj-01,robot,2,2,29.071,0.9199999999999982,1,participant,participant,silence,3,peut-être pas si
subj-01,robot,2,2,31.591,1.3930000000000007,1,researcher,researcher,silence,3,elle semble malheureuse
subj-01,robot,2,2,34.335,1.0869999999999962,0,researcher,participant,silence,12,oui peut-être parce qu'elle a elle a pas une forme parfaite
subj-01,robot,2,2,38.806,1.743000000000002,1,participant,participant,silence,14,est ce que c'est lié aux fruits et légumes qui sont moches peut-être
subj-01,robot,2,2,44.659,0.25900000000000034,0,participant,researcher,silence,9,elle est pourrie parce qu'elle vient de loin
subj-01,robot,2,2,47.443,1.2650000000000006,1,participant,participant,silence,3,d'accord ok
subj-01,robot,2,2,49.44,0.36599999999999966,1,participant,participant,silence,15,donc euh par rapport à la promotion des des de manger locaux local peut-être peut-être
subj-01,robot,2,2,55.389,2.3219999999999956,0,researcher,participant,silence,2,d'accord
subj-01,robot,2,2,5.924,0.46699999999999964,0,participant,researcher,speech,5,c'est une poire jaune
subj-01,robot,2,2,24.189,0.3099999999999987,0,participant,researcher,speech,3,ses bras pendent
subj-01,robot,2,2,30.052,0.5229999999999997,0,participant,researcher,speech,4,la poire semble triste
subj-01,robot,2,2,53.895,0.2949999999999946,0,participant,researcher,speech,4,oui ça se pourrait
subj-01,robot,2,4,3.628,0.029999999999999805,0,participant,researcher,silence,1,oui
subj-01,robot,2,4,4.029,0.6959999999999997,1,researcher,researcher,silence,3,elle est déformée
subj-01,robot,2,4,5.726,0.24399999999999977,0,researcher,participant,silence,1,oui
subj-01,robot,2,4,6.839,0.43599999999999994,0,researcher,participant,silence,14,c'est ça elle est déformée elle a une expression assez assezoui c'est
subj-01,robot,2,4,10.715,0.391,1,participant,participant,silence,1,semble
subj-01,robot,2,4,12.651,0.9350000000000005,1,researcher,researcher,silence,5,elle a des genoux courbés
subj-01,robot,2,4,14.846,0.8379999999999992,0,researcher,participant,silence,10,oui donc euh elle elle exprimepas quelque chose de joyeux
subj-01,robot,2,4,18.91,0.8019999999999996,1,participant,participant,silence,2,elle ne
subj-01,robot,2,4,21.247,0.20700000000000074,0,researcher,participant,silence,4,elle inspire pas euh
subj-01,robot,2,4,23.076,0.5339999999999989,1,participant,participant,silence,3,tant de bon
subj-01,robot,2,4,24.268,0.33200000000000074,1,participant,participant,silence,6,de sympathie autant d'admiration que
subj-01,robot,2,4,26.45,0.402000000000001,1,participant,participant,silence,10,que le super héros enfin que les légumes super héros
subj-01,robot,2,4,29.254,1.168999999999997,0,participant,researcher,silence,7,peut-être que quelqu'un l'a frappé
subj-01,robot,2,4,32.323,1.7070000000000007,0,researcher,participant,silence,2,super héros
subj-01,robot,2,4,35.026,0.715999999999994,1,participant,participant,silence,4,non je sais pas
subj-01,robot,2,4,36.306,0.8940000000000055,1,participant,participant,silence,2,et euh
subj-01,robot,2,4,37.566,1.5649999999999977,0,researcher,participant,silence,4,et du coup euh
subj-01,robot,2,4,40.025,1.3520000000000039,1,participant,participant,silence,18,est ce que est ce que c'est lié au fait de voilà les framboiseseuh viennent de loin
subj-01,robot,2,4,45.695,0.6180000000000021,1,participant,participant,silence,21,donc du coup elles s'abiment au cours des transports est ce que c'est lié au fait de manger local
